Planning Area,Subzone,Age,Sex,Population
Toa Payoh,Toa Payoh West,26.0,Males,70.0
Toa Payoh,Toa Payoh West,26.0,Females,80.0
Toa Payoh,Toa Payoh West,27.0,Total,140.0
Toa Payoh,Toa Payoh West,27.0,Males,70.0
Toa Payoh,Toa Payoh West,27.0,Females,70.0
Toa Payoh,Toa Payoh West,28.0,Total,160.0
Toa Payoh,Toa Payoh West,28.0,Males,70.0
Toa Payoh,Toa Payoh West,28.0,Females,100.0
Toa Payoh,Toa Payoh West,29.0,Total,170.0
Toa Payoh,Toa Payoh West,29.0,Males,80.0
Toa Payoh,Toa Payoh West,29.0,Females,80.0
Toa Payoh,Toa Payoh West,30.0,Total,200.0
Toa Payoh,Toa Payoh West,30.0,Males,90.0
Toa Payoh,Toa Payoh West,30.0,Females,110.0
Toa Payoh,Toa Payoh West,31.0,Total,190.0
Toa Payoh,Toa Payoh West,31.0,Males,100.0
Toa Payoh,Toa Payoh West,31.0,Females,100.0
Toa Payoh,Toa Payoh West,32.0,Total,180.0
Toa Payoh,Toa Payoh West,32.0,Males,70.0
Toa Payoh,Toa Payoh West,32.0,Females,110.0
Toa Payoh,Toa Payoh West,33.0,Total,170.0
Toa Payoh,Toa Payoh West,33.0,Males,80.0
Toa Payoh,Toa Payoh West,33.0,Females,90.0
Toa Payoh,Toa Payoh West,34.0,Total,160.0
Toa Payoh,Toa Payoh West,34.0,Males,90.0
Toa Payoh,Toa Payoh West,34.0,Females,80.0
Toa Payoh,Toa Payoh West,35.0,Total,230.0
Toa Payoh,Toa Payoh West,35.0,Males,90.0
Toa Payoh,Toa Payoh West,35.0,Females,140.0
Toa Payoh,Toa Payoh West,36.0,Total,230.0
Toa Payoh,Toa Payoh West,36.0,Males,120.0
Toa Payoh,Toa Payoh West,36.0,Females,110.0
Toa Payoh,Toa Payoh West,37.0,Total,180.0
Toa Payoh,Toa Payoh West,37.0,Males,100.0
Toa Payoh,Toa Payoh West,37.0,Females,90.0
Toa Payoh,Toa Payoh West,38.0,Total,180.0
Toa Payoh,Toa Payoh West,38.0,Males,90.0
Toa Payoh,Toa Payoh West,38.0,Females,100.0
Toa Payoh,Toa Payoh West,39.0,Total,170.0
Toa Payoh,Toa Payoh West,39.0,Males,80.0
Toa Payoh,Toa Payoh West,39.0,Females,90.0
Toa Payoh,Toa Payoh West,40.0,Total,170.0
Toa Payoh,Toa Payoh West,40.0,Males,80.0
Toa Payoh,Toa Payoh West,40.0,Females,80.0
Toa Payoh,Toa Payoh West,41.0,Total,190.0
Toa Payoh,Toa Payoh West,41.0,Males,90.0
Toa Payoh,Toa Payoh West,41.0,Females,100.0
Toa Payoh,Toa Payoh West,42.0,Total,200.0
Toa Payoh,Toa Payoh West,42.0,Males,80.0
Toa Payoh,Toa Payoh West,42.0,Females,120.0
Toa Payoh,Toa Payoh West,43.0,Total,190.0
Toa Payoh,Toa Payoh West,43.0,Males,90.0
Toa Payoh,Toa Payoh West,43.0,Females,100.0
Toa Payoh,Toa Payoh West,44.0,Total,170.0
Toa Payoh,Toa Payoh West,44.0,Males,70.0
Toa Payoh,Toa Payoh West,44.0,Females,100.0
Toa Payoh,Toa Payoh West,45.0,Total,210.0
Toa Payoh,Toa Payoh West,45.0,Males,100.0
Toa Payoh,Toa Payoh West,45.0,Females,110.0
Toa Payoh,Toa Payoh West,46.0,Total,190.0
Toa Payoh,Toa Payoh West,46.0,Males,70.0
Toa Payoh,Toa Payoh West,46.0,Females,110.0
Toa Payoh,Toa Payoh West,47.0,Total,220.0
Toa Payoh,Toa Payoh West,47.0,Males,120.0
Toa Payoh,Toa Payoh West,47.0,Females,100.0
Toa Payoh,Toa Payoh West,48.0,Total,180.0
Toa Payoh,Toa Payoh West,48.0,Males,80.0
Toa Payoh,Toa Payoh West,48.0,Females,100.0
Toa Payoh,Toa Payoh West,49.0,Total,200.0
Toa Payoh,Toa Payoh West,49.0,Males,90.0
Toa Payoh,Toa Payoh West,49.0,Females,110.0
Toa Payoh,Toa Payoh West,50.0,Total,210.0
Toa Payoh,Toa Payoh West,50.0,Males,90.0
Toa Payoh,Toa Payoh West,50.0,Females,130.0
Toa Payoh,Toa Payoh West,51.0,Total,230.0
Toa Payoh,Toa Payoh West,51.0,Males,110.0
Toa Payoh,Toa Payoh West,51.0,Females,120.0
Toa Payoh,Toa Payoh West,52.0,Total,190.0
Toa Payoh,Toa Payoh West,52.0,Males,80.0
Toa Payoh,Toa Payoh West,52.0,Females,110.0
Toa Payoh,Toa Payoh West,53.0,Total,230.0
Toa Payoh,Toa Payoh West,53.0,Males,110.0
Toa Payoh,Toa Payoh West,53.0,Females,120.0
Toa Payoh,Toa Payoh West,54.0,Total,210.0
Toa Payoh,Toa Payoh West,54.0,Males,100.0
Toa Payoh,Toa Payoh West,54.0,Females,110.0
Toa Payoh,Toa Payoh West,55.0,Total,190.0
Toa Payoh,Toa Payoh West,55.0,Males,80.0
Toa Payoh,Toa Payoh West,55.0,Females,100.0
Toa Payoh,Toa Payoh West,56.0,Total,200.0
Toa Payoh,Toa Payoh West,56.0,Males,90.0
Toa Payoh,Toa Payoh West,56.0,Females,110.0
Toa Payoh,Toa Payoh West,57.0,Total,220.0
Toa Payoh,Toa Payoh West,57.0,Males,100.0
Toa Payoh,Toa Payoh West,57.0,Females,130.0
Toa Payoh,Toa Payoh West,58.0,Total,200.0
Toa Payoh,Toa Payoh West,58.0,Males,100.0
Toa Payoh,Toa Payoh West,58.0,Females,110.0
Toa Payoh,Toa Payoh West,59.0,Total,230.0
Toa Payoh,Toa Payoh West,59.0,Males,100.0
Toa Payoh,Toa Payoh West,59.0,Females,130.0
Toa Payoh,Toa Payoh West,60.0,Total,220.0
Toa Payoh,Toa Payoh West,60.0,Males,110.0
Toa Payoh,Toa Payoh West,60.0,Females,110.0
Toa Payoh,Toa Payoh West,61.0,Total,210.0
Toa Payoh,Toa Payoh West,61.0,Males,100.0
Toa Payoh,Toa Payoh West,61.0,Females,110.0
Toa Payoh,Toa Payoh West,62.0,Total,200.0
Toa Payoh,Toa Payoh West,62.0,Males,90.0
Toa Payoh,Toa Payoh West,62.0,Females,120.0
Toa Payoh,Toa Payoh West,63.0,Total,220.0
Toa Payoh,Toa Payoh West,63.0,Males,100.0
Toa Payoh,Toa Payoh West,63.0,Females,120.0
Toa Payoh,Toa Payoh West,64.0,Total,220.0
Toa Payoh,Toa Payoh West,64.0,Males,110.0
Toa Payoh,Toa Payoh West,64.0,Females,110.0
Toa Payoh,Toa Payoh West,65.0,Total,220.0
Toa Payoh,Toa Payoh West,65.0,Males,90.0
Toa Payoh,Toa Payoh West,65.0,Females,120.0
Toa Payoh,Toa Payoh West,66.0,Total,210.0
Toa Payoh,Toa Payoh West,66.0,Males,100.0
Toa Payoh,Toa Payoh West,66.0,Females,110.0
Toa Payoh,Toa Payoh West,67.0,Total,220.0
Toa Payoh,Toa Payoh West,67.0,Males,100.0
Toa Payoh,Toa Payoh West,67.0,Females,120.0
Toa Payoh,Toa Payoh West,68.0,Total,190.0
Toa Payoh,Toa Payoh West,68.0,Males,70.0
Toa Payoh,Toa Payoh West,68.0,Females,120.0
Toa Payoh,Toa Payoh West,69.0,Total,180.0
Toa Payoh,Toa Payoh West,69.0,Males,80.0
Toa Payoh,Toa Payoh West,69.0,Females,100.0
Toa Payoh,Toa Payoh West,70.0,Total,190.0
Toa Payoh,Toa Payoh West,70.0,Males,80.0
Toa Payoh,Toa Payoh West,70.0,Females,110.0
Toa Payoh,Toa Payoh West,71.0,Total,190.0
Toa Payoh,Toa Payoh West,71.0,Males,80.0
Toa Payoh,Toa Payoh West,71.0,Females,110.0
Toa Payoh,Toa Payoh West,72.0,Total,160.0
Toa Payoh,Toa Payoh West,72.0,Males,70.0
Toa Payoh,Toa Payoh West,72.0,Females,100.0
Toa Payoh,Toa Payoh West,73.0,Total,170.0
Toa Payoh,Toa Payoh West,73.0,Males,80.0
Toa Payoh,Toa Payoh West,73.0,Females,100.0
Toa Payoh,Toa Payoh West,74.0,Total,180.0
Toa Payoh,Toa Payoh West,74.0,Males,70.0
Toa Payoh,Toa Payoh West,74.0,Females,120.0
Toa Payoh,Toa Payoh West,75.0,Total,160.0
Toa Payoh,Toa Payoh West,75.0,Males,70.0
Toa Payoh,Toa Payoh West,75.0,Females,90.0
Toa Payoh,Toa Payoh West,76.0,Total,170.0
Toa Payoh,Toa Payoh West,76.0,Males,60.0
Toa Payoh,Toa Payoh West,76.0,Females,110.0
Toa Payoh,Toa Payoh West,77.0,Total,180.0
Toa Payoh,Toa Payoh West,77.0,Males,90.0
Toa Payoh,Toa Payoh West,77.0,Females,90.0
Toa Payoh,Toa Payoh West,78.0,Total,120.0
Toa Payoh,Toa Payoh West,78.0,Males,40.0
Toa Payoh,Toa Payoh West,78.0,Females,80.0
Toa Payoh,Toa Payoh West,79.0,Total,90.0
Toa Payoh,Toa Payoh West,79.0,Males,40.0
Toa Payoh,Toa Payoh West,79.0,Females,60.0
Toa Payoh,Toa Payoh West,80.0,Total,120.0
Toa Payoh,Toa Payoh West,80.0,Males,50.0
Toa Payoh,Toa Payoh West,80.0,Females,70.0
Toa Payoh,Toa Payoh West,81.0,Total,110.0
Toa Payoh,Toa Payoh West,81.0,Males,40.0
Toa Payoh,Toa Payoh West,81.0,Females,70.0
Toa Payoh,Toa Payoh West,82.0,Total,110.0
Toa Payoh,Toa Payoh West,82.0,Males,40.0
Toa Payoh,Toa Payoh West,82.0,Females,60.0
Toa Payoh,Toa Payoh West,83.0,Total,110.0
Toa Payoh,Toa Payoh West,83.0,Males,40.0
Toa Payoh,Toa Payoh West,83.0,Females,70.0
Toa Payoh,Toa Payoh West,84.0,Total,110.0
Toa Payoh,Toa Payoh West,84.0,Males,30.0
Toa Payoh,Toa Payoh West,84.0,Females,80.0
Toa Payoh,Toa Payoh West,85.0,Total,120.0
Toa Payoh,Toa Payoh West,85.0,Males,50.0
Toa Payoh,Toa Payoh West,85.0,Females,70.0
Toa Payoh,Toa Payoh West,86.0,Total,80.0
Toa Payoh,Toa Payoh West,86.0,Males,30.0
Toa Payoh,Toa Payoh West,86.0,Females,50.0
Toa Payoh,Toa Payoh West,87.0,Total,60.0
Toa Payoh,Toa Payoh West,87.0,Males,30.0
Toa Payoh,Toa Payoh West,87.0,Females,40.0
Toa Payoh,Toa Payoh West,88.0,Total,60.0
Toa Payoh,Toa Payoh West,88.0,Males,10.0
Toa Payoh,Toa Payoh West,88.0,Females,40.0
Toa Payoh,Toa Payoh West,89.0,Total,50.0
Toa Payoh,Toa Payoh West,89.0,Males,20.0
Toa Payoh,Toa Payoh West,89.0,Females,30.0
Toa Payoh,Woodleigh,0.0,Total,30.0
Toa Payoh,Woodleigh,0.0,Males,20.0
Toa Payoh,Woodleigh,0.0,Females,10.0
Toa Payoh,Woodleigh,1.0,Total,20.0
Toa Payoh,Woodleigh,1.0,Males,10.0
Toa Payoh,Woodleigh,1.0,Females,10.0
Toa Payoh,Woodleigh,2.0,Total,20.0
Toa Payoh,Woodleigh,2.0,Males,10.0
Toa Payoh,Woodleigh,2.0,Females,10.0
Toa Payoh,Woodleigh,3.0,Total,30.0
Toa Payoh,Woodleigh,3.0,Males,10.0
Toa Payoh,Woodleigh,3.0,Females,10.0
Toa Payoh,Woodleigh,4.0,Total,30.0
Toa Payoh,Woodleigh,4.0,Males,20.0
Toa Payoh,Woodleigh,4.0,Females,10.0
Toa Payoh,Woodleigh,5.0,Total,40.0
Toa Payoh,Woodleigh,5.0,Males,20.0
Toa Payoh,Woodleigh,5.0,Females,20.0
Toa Payoh,Woodleigh,6.0,Total,30.0
Toa Payoh,Woodleigh,6.0,Males,20.0
Toa Payoh,Woodleigh,6.0,Females,10.0
Toa Payoh,Woodleigh,7.0,Total,30.0
Toa Payoh,Woodleigh,7.0,Males,20.0
Toa Payoh,Woodleigh,7.0,Females,10.0
Toa Payoh,Woodleigh,8.0,Total,50.0
Toa Payoh,Woodleigh,8.0,Males,30.0
Toa Payoh,Woodleigh,8.0,Females,20.0
Toa Payoh,Woodleigh,9.0,Total,30.0
Toa Payoh,Woodleigh,9.0,Males,20.0
Toa Payoh,Woodleigh,9.0,Females,10.0
Toa Payoh,Woodleigh,10.0,Total,40.0
Toa Payoh,Woodleigh,10.0,Males,30.0
Toa Payoh,Woodleigh,10.0,Females,10.0
Toa Payoh,Woodleigh,11.0,Total,40.0
Toa Payoh,Woodleigh,11.0,Males,20.0
Toa Payoh,Woodleigh,11.0,Females,20.0
Toa Payoh,Woodleigh,12.0,Total,40.0
Toa Payoh,Woodleigh,12.0,Males,20.0
Toa Payoh,Woodleigh,12.0,Females,20.0
Toa Payoh,Woodleigh,13.0,Total,40.0
Toa Payoh,Woodleigh,13.0,Males,30.0
Toa Payoh,Woodleigh,13.0,Females,10.0
Toa Payoh,Woodleigh,14.0,Total,40.0
Toa Payoh,Woodleigh,14.0,Males,20.0
Toa Payoh,Woodleigh,14.0,Females,20.0
Toa Payoh,Woodleigh,15.0,Total,50.0
Toa Payoh,Woodleigh,15.0,Males,20.0
Toa Payoh,Woodleigh,15.0,Females,20.0
Toa Payoh,Woodleigh,16.0,Total,50.0
Toa Payoh,Woodleigh,16.0,Males,20.0
Toa Payoh,Woodleigh,16.0,Females,20.0
Toa Payoh,Woodleigh,17.0,Total,50.0
Toa Payoh,Woodleigh,17.0,Males,30.0
Toa Payoh,Woodleigh,17.0,Females,20.0
Toa Payoh,Woodleigh,18.0,Total,50.0
Toa Payoh,Woodleigh,18.0,Males,20.0
Toa Payoh,Woodleigh,18.0,Females,30.0
Toa Payoh,Woodleigh,19.0,Total,40.0
Toa Payoh,Woodleigh,19.0,Males,20.0
Toa Payoh,Woodleigh,19.0,Females,20.0
Toa Payoh,Woodleigh,20.0,Total,40.0
Toa Payoh,Woodleigh,20.0,Males,20.0
Toa Payoh,Woodleigh,20.0,Females,20.0
Toa Payoh,Woodleigh,21.0,Total,40.0
Toa Payoh,Woodleigh,21.0,Males,20.0
Toa Payoh,Woodleigh,21.0,Females,20.0
Toa Payoh,Woodleigh,22.0,Total,30.0
Toa Payoh,Woodleigh,22.0,Males,20.0
Toa Payoh,Woodleigh,22.0,Females,20.0
Toa Payoh,Woodleigh,23.0,Total,40.0
Toa Payoh,Woodleigh,23.0,Males,20.0
Toa Payoh,Woodleigh,23.0,Females,20.0
Toa Payoh,Woodleigh,24.0,Total,40.0
Toa Payoh,Woodleigh,24.0,Males,20.0
Toa Payoh,Woodleigh,24.0,Females,20.0
Toa Payoh,Woodleigh,25.0,Total,40.0
Toa Payoh,Woodleigh,25.0,Males,10.0
Toa Payoh,Woodleigh,25.0,Females,20.0
Toa Payoh,Woodleigh,26.0,Total,40.0
Toa Payoh,Woodleigh,26.0,Males,20.0
Toa Payoh,Woodleigh,26.0,Females,20.0
Toa Payoh,Woodleigh,27.0,Total,40.0
Toa Payoh,Woodleigh,27.0,Males,20.0
Toa Payoh,Woodleigh,27.0,Females,20.0
Toa Payoh,Woodleigh,28.0,Total,30.0
Toa Payoh,Woodleigh,28.0,Males,20.0
Toa Payoh,Woodleigh,28.0,Females,20.0
Toa Payoh,Woodleigh,29.0,Total,50.0
Toa Payoh,Woodleigh,29.0,Males,20.0
Toa Payoh,Woodleigh,29.0,Females,30.0
Toa Payoh,Woodleigh,30.0,Total,50.0
Toa Payoh,Woodleigh,30.0,Males,20.0
Toa Payoh,Woodleigh,30.0,Females,30.0
Toa Payoh,Woodleigh,31.0,Total,70.0
Toa Payoh,Woodleigh,31.0,Males,30.0
Toa Payoh,Woodleigh,31.0,Females,40.0
Toa Payoh,Woodleigh,32.0,Total,50.0
Toa Payoh,Woodleigh,32.0,Males,20.0
Toa Payoh,Woodleigh,32.0,Females,30.0
Toa Payoh,Woodleigh,33.0,Total,60.0
Toa Payoh,Woodleigh,33.0,Males,30.0
Toa Payoh,Woodleigh,33.0,Females,30.0
Toa Payoh,Woodleigh,34.0,Total,50.0
Toa Payoh,Woodleigh,34.0,Males,30.0
Toa Payoh,Woodleigh,34.0,Females,20.0
Toa Payoh,Woodleigh,35.0,Total,70.0
Toa Payoh,Woodleigh,35.0,Males,30.0
Toa Payoh,Woodleigh,35.0,Females,40.0
Toa Payoh,Woodleigh,36.0,Total,60.0
Toa Payoh,Woodleigh,36.0,Males,20.0
Toa Payoh,Woodleigh,36.0,Females,30.0
Toa Payoh,Woodleigh,37.0,Total,40.0
Toa Payoh,Woodleigh,37.0,Males,10.0
Toa Payoh,Woodleigh,37.0,Females,30.0
Toa Payoh,Woodleigh,38.0,Total,50.0
Toa Payoh,Woodleigh,38.0,Males,20.0
Toa Payoh,Woodleigh,38.0,Females,30.0
Toa Payoh,Woodleigh,39.0,Total,70.0
Toa Payoh,Woodleigh,39.0,Males,30.0
Toa Payoh,Woodleigh,39.0,Females,40.0
Toa Payoh,Woodleigh,40.0,Total,60.0
Toa Payoh,Woodleigh,40.0,Males,30.0
Toa Payoh,Woodleigh,40.0,Females,30.0
Toa Payoh,Woodleigh,41.0,Total,80.0
Toa Payoh,Woodleigh,41.0,Males,30.0
Toa Payoh,Woodleigh,41.0,Females,50.0
Toa Payoh,Woodleigh,42.0,Total,50.0
Toa Payoh,Woodleigh,42.0,Males,30.0
Toa Payoh,Woodleigh,42.0,Females,20.0
Toa Payoh,Woodleigh,43.0,Total,60.0
Toa Payoh,Woodleigh,43.0,Males,30.0
Toa Payoh,Woodleigh,43.0,Females,30.0
Toa Payoh,Woodleigh,44.0,Total,60.0
Toa Payoh,Woodleigh,44.0,Males,30.0
Toa Payoh,Woodleigh,44.0,Females,40.0
Toa Payoh,Woodleigh,45.0,Total,60.0
Toa Payoh,Woodleigh,45.0,Males,30.0
Toa Payoh,Woodleigh,45.0,Females,30.0
Toa Payoh,Woodleigh,46.0,Total,40.0
Toa Payoh,Woodleigh,46.0,Males,10.0
Toa Payoh,Woodleigh,46.0,Females,30.0
Toa Payoh,Woodleigh,47.0,Total,80.0
Toa Payoh,Woodleigh,47.0,Males,40.0
Toa Payoh,Woodleigh,47.0,Females,40.0
Toa Payoh,Woodleigh,48.0,Total,60.0
Toa Payoh,Woodleigh,48.0,Males,30.0
Toa Payoh,Woodleigh,48.0,Females,30.0
Toa Payoh,Woodleigh,49.0,Total,60.0
Toa Payoh,Woodleigh,49.0,Males,30.0
Toa Payoh,Woodleigh,49.0,Females,30.0
Toa Payoh,Woodleigh,50.0,Total,60.0
Toa Payoh,Woodleigh,50.0,Males,30.0
Toa Payoh,Woodleigh,50.0,Females,30.0
Toa Payoh,Woodleigh,51.0,Total,50.0
Toa Payoh,Woodleigh,51.0,Males,30.0
Toa Payoh,Woodleigh,51.0,Females,30.0
Toa Payoh,Woodleigh,52.0,Total,60.0
Toa Payoh,Woodleigh,52.0,Males,30.0
Toa Payoh,Woodleigh,52.0,Females,30.0
Toa Payoh,Woodleigh,53.0,Total,70.0
Toa Payoh,Woodleigh,53.0,Males,40.0
Toa Payoh,Woodleigh,53.0,Females,30.0
Toa Payoh,Woodleigh,54.0,Total,60.0
Toa Payoh,Woodleigh,54.0,Males,30.0
Toa Payoh,Woodleigh,54.0,Females,20.0
Toa Payoh,Woodleigh,55.0,Total,50.0
Toa Payoh,Woodleigh,55.0,Males,20.0
Toa Payoh,Woodleigh,55.0,Females,20.0
Toa Payoh,Woodleigh,56.0,Total,50.0
Toa Payoh,Woodleigh,56.0,Males,20.0
Toa Payoh,Woodleigh,56.0,Females,20.0
Toa Payoh,Woodleigh,57.0,Total,40.0
Toa Payoh,Woodleigh,57.0,Males,20.0
Toa Payoh,Woodleigh,57.0,Females,20.0
Toa Payoh,Woodleigh,58.0,Total,30.0
Toa Payoh,Woodleigh,58.0,Males,20.0
Toa Payoh,Woodleigh,58.0,Females,10.0
Toa Payoh,Woodleigh,59.0,Total,30.0
Toa Payoh,Woodleigh,59.0,Males,20.0
Toa Payoh,Woodleigh,59.0,Females,20.0
Toa Payoh,Woodleigh,60.0,Total,40.0
Toa Payoh,Woodleigh,60.0,Males,20.0
Toa Payoh,Woodleigh,60.0,Females,20.0
Toa Payoh,Woodleigh,61.0,Total,30.0
Toa Payoh,Woodleigh,61.0,Males,20.0
Toa Payoh,Woodleigh,61.0,Females,20.0
Toa Payoh,Woodleigh,62.0,Total,30.0
Toa Payoh,Woodleigh,62.0,Males,10.0
Toa Payoh,Woodleigh,62.0,Females,20.0
Toa Payoh,Woodleigh,63.0,Total,40.0
Toa Payoh,Woodleigh,63.0,Males,20.0
Toa Payoh,Woodleigh,63.0,Females,20.0
Toa Payoh,Woodleigh,64.0,Total,40.0
Toa Payoh,Woodleigh,64.0,Males,20.0
Toa Payoh,Woodleigh,64.0,Females,20.0
Toa Payoh,Woodleigh,65.0,Total,30.0
Toa Payoh,Woodleigh,65.0,Males,10.0
Toa Payoh,Woodleigh,65.0,Females,20.0
Toa Payoh,Woodleigh,66.0,Total,50.0
Toa Payoh,Woodleigh,66.0,Males,20.0
Toa Payoh,Woodleigh,66.0,Females,20.0
Toa Payoh,Woodleigh,67.0,Total,30.0
Toa Payoh,Woodleigh,67.0,Males,10.0
Toa Payoh,Woodleigh,67.0,Females,20.0
Toa Payoh,Woodleigh,68.0,Total,40.0
Toa Payoh,Woodleigh,68.0,Males,20.0
Toa Payoh,Woodleigh,68.0,Females,20.0
Toa Payoh,Woodleigh,69.0,Total,30.0
Toa Payoh,Woodleigh,69.0,Males,20.0
Toa Payoh,Woodleigh,69.0,Females,20.0
Toa Payoh,Woodleigh,70.0,Total,40.0
Toa Payoh,Woodleigh,70.0,Males,20.0
Toa Payoh,Woodleigh,70.0,Females,20.0
Toa Payoh,Woodleigh,71.0,Total,30.0
Toa Payoh,Woodleigh,71.0,Males,20.0
Toa Payoh,Woodleigh,71.0,Females,10.0
Toa Payoh,Woodleigh,72.0,Total,30.0
Toa Payoh,Woodleigh,72.0,Males,10.0
Toa Payoh,Woodleigh,72.0,Females,20.0
Toa Payoh,Woodleigh,73.0,Total,30.0
Toa Payoh,Woodleigh,73.0,Males,20.0
Toa Payoh,Woodleigh,73.0,Females,10.0
Toa Payoh,Woodleigh,74.0,Total,20.0
Toa Payoh,Woodleigh,74.0,Males,10.0
Toa Payoh,Woodleigh,74.0,Females,10.0
Toa Payoh,Woodleigh,75.0,Total,20.0
Toa Payoh,Woodleigh,75.0,Males,10.0
Toa Payoh,Woodleigh,75.0,Females,10.0
Toa Payoh,Woodleigh,76.0,Total,30.0
Toa Payoh,Woodleigh,76.0,Males,10.0
Toa Payoh,Woodleigh,76.0,Females,10.0
Toa Payoh,Woodleigh,77.0,Total,20.0
Toa Payoh,Woodleigh,77.0,Males,10.0
Toa Payoh,Woodleigh,77.0,Females,10.0
Toa Payoh,Woodleigh,78.0,Total,10.0
Toa Payoh,Woodleigh,78.0,Males,10.0
Toa Payoh,Woodleigh,79.0,Total,10.0
Toa Payoh,Woodleigh,79.0,Females,10.0
Toa Payoh,Woodleigh,80.0,Total,10.0
Toa Payoh,Woodleigh,80.0,Females,10.0
Toa Payoh,Woodleigh,83.0,Total,10.0
Toa Payoh,Woodleigh,84.0,Total,10.0
Toa Payoh,Woodleigh,85.0,Total,10.0
Western Water Catchment,Total,4.0,Total,10.0
Western Water Catchment,Total,4.0,Females,10.0
Western Water Catchment,Total,6.0,Total,10.0
Western Water Catchment,Total,6.0,Females,10.0
Western Water Catchment,Total,7.0,Total,10.0
Western Water Catchment,Total,7.0,Males,10.0
Western Water Catchment,Total,7.0,Females,10.0
Western Water Catchment,Total,8.0,Total,10.0
Western Water Catchment,Total,8.0,Males,10.0
Western Water Catchment,Total,9.0,Total,10.0
Western Water Catchment,Total,10.0,Total,10.0
Western Water Catchment,Total,10.0,Males,10.0
Western Water Catchment,Total,10.0,Females,10.0
Western Water Catchment,Total,11.0,Total,10.0
Western Water Catchment,Total,11.0,Males,10.0
Western Water Catchment,Total,13.0,Total,10.0
Western Water Catchment,Total,13.0,Females,10.0
Western Water Catchment,Total,14.0,Total,10.0
Western Water Catchment,Total,14.0,Females,10.0
Western Water Catchment,Total,16.0,Total,10.0
Western Water Catchment,Total,17.0,Total,10.0
Western Water Catchment,Total,17.0,Males,10.0
Western Water Catchment,Total,19.0,Total,10.0
Western Water Catchment,Total,19.0,Females,10.0
Western Water Catchment,Total,20.0,Total,10.0
Western Water Catchment,Total,20.0,Females,10.0
Western Water Catchment,Total,21.0,Total,40.0
Western Water Catchment,Total,21.0,Males,10.0
Western Water Catchment,Total,21.0,Females,30.0
Western Water Catchment,Total,22.0,Total,30.0
Western Water Catchment,Total,22.0,Females,20.0
Western Water Catchment,Total,23.0,Total,20.0
Western Water Catchment,Total,23.0,Males,10.0
Western Water Catchment,Total,23.0,Females,20.0
Western Water Catchment,Total,24.0,Total,20.0
Western Water Catchment,Total,24.0,Males,10.0
Western Water Catchment,Total,24.0,Females,10.0
Western Water Catchment,Total,25.0,Total,10.0
Western Water Catchment,Total,25.0,Males,10.0
Western Water Catchment,Total,25.0,Females,10.0
Western Water Catchment,Total,26.0,Total,10.0
Western Water Catchment,Total,27.0,Total,10.0
Western Water Catchment,Total,27.0,Females,10.0
Western Water Catchment,Total,28.0,Total,10.0
Western Water Catchment,Total,28.0,Females,10.0
Western Water Catchment,Total,30.0,Total,10.0
Western Water Catchment,Total,30.0,Males,10.0
Western Water Catchment,Total,30.0,Females,10.0
Western Water Catchment,Total,31.0,Total,10.0
Western Water Catchment,Total,33.0,Total,10.0
Western Water Catchment,Total,33.0,Females,10.0
Western Water Catchment,Total,34.0,Total,10.0
Western Water Catchment,Total,35.0,Total,10.0
Western Water Catchment,Total,35.0,Males,10.0
Western Water Catchment,Total,35.0,Females,10.0
Western Water Catchment,Total,36.0,Total,10.0
Western Water Catchment,Total,36.0,Males,10.0
Western Water Catchment,Total,37.0,Total,10.0
Western Water Catchment,Total,37.0,Females,10.0
Western Water Catchment,Total,38.0,Total,10.0
Western Water Catchment,Total,38.0,Males,10.0
Western Water Catchment,Total,38.0,Females,10.0
Western Water Catchment,Total,39.0,Total,10.0
Western Water Catchment,Total,40.0,Total,10.0
Western Water Catchment,Total,40.0,Females,10.0
Western Water Catchment,Total,41.0,Total,20.0
Western Water Catchment,Total,41.0,Males,10.0
Western Water Catchment,Total,41.0,Females,10.0
Western Water Catchment,Total,42.0,Total,10.0
Western Water Catchment,Total,42.0,Males,10.0
Western Water Catchment,Total,43.0,Total,20.0
Western Water Catchment,Total,43.0,Males,10.0
Western Water Catchment,Total,43.0,Females,10.0
Western Water Catchment,Total,44.0,Total,10.0
Western Water Catchment,Total,44.0,Males,10.0
Western Water Catchment,Total,44.0,Females,10.0
Western Water Catchment,Total,45.0,Total,10.0
Western Water Catchment,Total,45.0,Females,10.0
Western Water Catchment,Total,46.0,Total,10.0
Western Water Catchment,Total,46.0,Males,10.0
Western Water Catchment,Total,47.0,Total,10.0
Western Water Catchment,Total,47.0,Males,10.0
Western Water Catchment,Total,48.0,Total,10.0
Western Water Catchment,Total,48.0,Males,10.0
Western Water Catchment,Total,48.0,Females,10.0
Western Water Catchment,Total,49.0,Total,10.0
Western Water Catchment,Total,50.0,Total,10.0
Western Water Catchment,Total,51.0,Total,10.0
Western Water Catchment,Total,52.0,Total,10.0
Western Water Catchment,Total,52.0,Females,10.0
Western Water Catchment,Total,53.0,Total,10.0
Western Water Catchment,Total,54.0,Total,10.0
Western Water Catchment,Total,56.0,Total,10.0
Western Water Catchment,Total,56.0,Females,10.0
Western Water Catchment,Total,57.0,Total,10.0
Western Water Catchment,Total,58.0,Total,10.0
Western Water Catchment,Total,58.0,Males,10.0
Western Water Catchment,Total,59.0,Total,10.0
Western Water Catchment,Total,60.0,Total,10.0
Western Water Catchment,Total,60.0,Females,10.0
